University Name,"City, State",Rank,Tuition and Fees,Undergrad enrollment
Princeton University,"Princeton, NJ",1,"$65,210.00","5,813"
Massachusetts Institute of Technology,"Cambridge, MA",2,"$64,730.00","4,535"
Harvard University,"Cambridge, MA",3,"$64,796.00","7,038"
Stanford University,"Stanford, CA",4,"$68,544.00","7,904"
Yale University,"New Haven, CT",4,"$69,900.00","6,814"
University of Chicago,"Chicago, IL",6,"$73,266.00","7,519"
Duke University,"Durham, NC",7,"$73,172.00","6,523"
Johns Hopkins University,"Baltimore, MD",7,"$67,170.00","6,356"
Northwestern University,"Evanston, IL",7,"$70,589.00","9,060"
University of Pennsylvania,"Philadelphia, PA",7,"$71,236.00","10,013"
California Institute of Technology,"Pasadena, CA",11,"$68,208.00",987
Cornell University,"Ithaca, NY",12,"$72,270.00","16,128"
Brown University,"Providence, RI",13,"$74,550.00","7,910"
Dartmouth College,"Hanover, NH",13,"$71,265.00","4,570"
Columbia University,"New York, NY",15,"$69,045.00","9,111"
"University of California, Berkeley","Berkeley, CA",15,"$55,323(out-of-state) / $17,721(in-state)","33,469"
